Section_1,Section_2,Section_3,Title,Steps,Expected_Result,Priority
로그인,기본 로그인,정상 로그인,로그인 기능 테스트,"1. 로그인 페이지 접속
2. 유효한 아이디/비밀번호 입력
3. 로그인 버튼 클릭",로그인 성공 및 메인 페이지 이동,High
로그인,기본 로그인,실패 케이스,잘못된 비밀번호 입력,"1. 로그인 페이지 접속
2. 잘못된 비밀번호 입력
3. 로그인 버튼 클릭",에러 메시지 출력,Medium
회원가입,유효성 검사,,이메일 형식 검사,"1. 회원가입 페이지 접속
2. 잘못된 이메일 형식 입력
3. 가입 버튼 클릭",에러 메시지 출력,Medium
회원가입,유효성 검사,,비밀번호 강도 검사,"1. 회원가입 페이지 접속
2. 약한 비밀번호 입력
3. 가입 버튼 클릭",비밀번호 강도 안내 메시지,Low
비밀번호,찾기,,비밀번호 찾기 기능,"1. 비밀번호 찾기 클릭
2. 이메일 입력
3. 인증 코드 확인",임시 비밀번호 발급,Low
장바구니,추가,,장바구니 추가 기능,"1. 상품 상세 페이지 이동
2. 장바구니 추가 버튼 클릭",장바구니에 상품 추가됨,Critical
장바구니,수정,,수량 변경 기능,"1. 장바구니 페이지 이동
2. 수량 변경
3. 저장",변경된 수량 반영,Medium
장바구니,삭제,,상품 삭제 기능,"1. 장바구니 페이지 이동
2. 삭제 버튼 클릭",상품 제거됨,Medium
결제,프로세스,배송지 입력,배송지 정보 입력,"1. 결제 페이지 이동
2. 배송지 정보 입력",배송지 정보 저장,Blocker
결제,프로세스,결제 수단,결제 수단 선택,"1. 결제 수단 선택
2. 카드 정보 입력",결제 수단 등록,Blocker
결제,완료,,결제 완료 확인,"1. 결제 완료 버튼 클릭
2. 주문 내역 확인",주문 완료 페이지 표시,Critical


